Dummy ID,Date of Txn,Transaction type,Amount
27529324,30Jun2017,D,11600
26938912,30Jun2017,C,1
23940658,30Jun2017,C,63015
22992460,30Jun2017,D,1000
22521814,30Jun2017,C,10116
22520092,30Jun2017,C,200000
162582334,01Jul2017,C,4638
135351364,01Jul2017,D,4000
132201058,01Jul2017,D,87
123448972,01Jul2017,D,860
119022562,01Jul2017,C,77406
112806136,01Jul2017,C,33354
112589128,01Jul2017,D,5000
101369662,01Jul2017,D,40912
96404704,01Jul2017,C,3000
89333104,01Jul2017,C,40000
73287130,01Jul2017,C,16014
65058922,01Jul2017,D,1150
56686882,01Jul2017,C,64580
35133730,01Jul2017,D,31
32180590,01Jul2017,D,45342
29935630,01Jul2017,D,156
27291430,01Jul2017,D,400
166993462,02Jul2017,D,40000
166200070,02Jul2017,D,297
142516414,02Jul2017,D,482
131559760,02Jul2017,D,1500
121799566,02Jul2017,D,5000
100565842,02Jul2017,D,5000
99933814,02Jul2017,D,3880
27721780,02Jul2017,D,1000
26686048,02Jul2017,D,1000
214186426,03Jul2017,C,19800
144923824,03Jul2017,D,3000
142786624,03Jul2017,D,2000
142521874,03Jul2017,C,10000
142090000,03Jul2017,D,4089
132910546,03Jul2017,C,90000
132712834,03Jul2017,D,12000
127408516,03Jul2017,D,48000
118497214,03Jul2017,C,9730
98343466,03Jul2017,C,30000
94459408,03Jul2017,C,30000
91257790,03Jul2017,D,225
77107774,03Jul2017,C,4170
71612884,03Jul2017,C,7040
62569072,03Jul2017,D,590
60356542,03Jul2017,D,1000
57271444,03Jul2017,D,300
35890684,03Jul2017,C,13418
23272192,03Jul2017,C,30000
22503364,03Jul2017,C,36000
142220536,04Jul2017,D,2130
141896050,04Jul2017,C,9000
133135690,04Jul2017,D,12500
128413402,04Jul2017,D,1000
124870774,04Jul2017,D,20000
94770394,04Jul2017,D,49000
91489498,04Jul2017,D,91000
63677506,04Jul2017,D,75000
52318606,04Jul2017,D,34800
49383154,04Jul2017,C,49000
30081130,04Jul2017,D,100000
29167294,04Jul2017,C,31984
28781608,04Jul2017,C,1
24654700,04Jul2017,C,200000
23240944,04Jul2017,D,126250
166890790,05Jul2017,D,260000
147301696,05Jul2017,D,25
140069206,05Jul2017,C,11200
138416626,05Jul2017,D,9436
136679512,05Jul2017,D,345
128863846,05Jul2017,D,68400
125825704,05Jul2017,D,12000
121909132,05Jul2017,D,272753
118746334,05Jul2017,D,17030
107171302,05Jul2017,D,2292
104049496,05Jul2017,D,2962
98094790,05Jul2017,C,27757
89921086,05Jul2017,D,14295
87327058,05Jul2017,D,25510
86210356,05Jul2017,D,1792
75316396,05Jul2017,D,30000
65052064,05Jul2017,D,13785
52412266,05Jul2017,D,499
51749530,05Jul2017,D,50000
30191434,05Jul2017,C,2500
27728470,05Jul2017,D,47318
26129038,05Jul2017,D,85211
22651462,05Jul2017,C,6700
22577488,05Jul2017,D,23141
22491700,05Jul2017,D,234296
166345162,06Jul2017,D,10000
135241054,06Jul2017,C,100000
134791264,06Jul2017,C,25000
128700694,06Jul2017,D,1000
119292460,06Jul2017,D,9527
102879490,06Jul2017,D,32326
86126722,06Jul2017,D,6000
69998788,06Jul2017,D,6500
69066886,06Jul2017,C,1140616
61470580,06Jul2017,C,19000
55219306,06Jul2017,D,500
46004248,06Jul2017,D,1663
31858366,06Jul2017,C,70000
28991290,06Jul2017,C,164000
26148286,06Jul2017,D,240
24472912,06Jul2017,C,4665
214786846,07Jul2017,D,12550
190073668,07Jul2017,C,11294
170482918,07Jul2017,D,7000
166508674,07Jul2017,D,2000
157254478,07Jul2017,D,5893
134590552,07Jul2017,D,5000
134294944,07Jul2017,D,1000
131116288,07Jul2017,D,14000
118907410,07Jul2017,D,3000
105769336,07Jul2017,C,9350
104529976,07Jul2017,D,3450
92194768,07Jul2017,D,950
90005944,07Jul2017,D,2148
78307246,07Jul2017,D,2200
77509408,07Jul2017,C,40000
75348286,07Jul2017,C,57002
71709814,07Jul2017,D,400000
63346246,07Jul2017,C,10000
57395380,07Jul2017,D,2296358
46838722,07Jul2017,C,97506
43513240,07Jul2017,D,500
36118972,07Jul2017,C,17000
31399900,07Jul2017,C,1050
30605632,07Jul2017,C,16965
26607574,07Jul2017,C,50000
26046088,07Jul2017,D,7200
166884028,08Jul2017,D,2000
156996766,08Jul2017,D,500
132193222,08Jul2017,D,500
127391584,08Jul2017,D,10000
105379456,08Jul2017,D,1245
103214014,08Jul2017,D,7853
102454030,08Jul2017,D,400
100272418,08Jul2017,C,500
67342168,08Jul2017,D,5500
152551084,09Jul2017,D,30
129383776,09Jul2017,D,50
124869568,09Jul2017,D,325
100039942,09Jul2017,D,480
35415544,09Jul2017,D,60
214186426,10Jul2017,D,29800
208037020,10Jul2017,D,8141
153269626,10Jul2017,D,10000
150769138,10Jul2017,D,500
133225402,10Jul2017,D,7150
125335654,10Jul2017,C,8000
111963196,10Jul2017,D,9207
99244378,10Jul2017,D,1400
97260052,10Jul2017,D,930
89835604,10Jul2017,D,10000
82112008,10Jul2017,D,10000
78010258,10Jul2017,C,11386
76658632,10Jul2017,D,300
62045458,10Jul2017,C,12960
53055700,10Jul2017,D,3500
32080708,10Jul2017,D,500
31683316,10Jul2017,D,263
29942524,10Jul2017,D,50000
26596108,10Jul2017,D,21550
26084476,10Jul2017,C,622
24632632,10Jul2017,C,30
24272542,10Jul2017,C,40000
24242836,10Jul2017,D,72170
214186426,11Jul2017,D,20700
157022836,11Jul2017,D,999
153391732,11Jul2017,C,11030
152683084,11Jul2017,D,50598
148333162,11Jul2017,D,95
146880568,11Jul2017,C,6000
137554924,11Jul2017,C,200000
134064994,11Jul2017,D,15600
130219648,11Jul2017,C,3555
128276590,11Jul2017,D,10000
116975644,11Jul2017,C,10000
111263278,11Jul2017,D,20000
105863134,11Jul2017,D,10000
99773590,11Jul2017,C,24000
96346156,11Jul2017,D,19800
69940552,11Jul2017,D,130
65937382,11Jul2017,C,94
60023440,11Jul2017,D,500
40193632,11Jul2017,D,35
32079316,11Jul2017,D,612788
31965904,11Jul2017,D,500
24463642,11Jul2017,D,10000
24379672,11Jul2017,D,81000
24225448,11Jul2017,D,10500
166977832,12Jul2017,D,1000
142503406,12Jul2017,C,10000
136924966,12Jul2017,C,183857
136783102,12Jul2017,D,60
136105642,12Jul2017,D,110
134688982,12Jul2017,D,2500
133812292,12Jul2017,C,654
118473808,12Jul2017,D,6300
108827800,12Jul2017,D,2498
105046420,12Jul2017,C,1674
103887706,12Jul2017,D,10000
103050244,12Jul2017,C,73
102205330,12Jul2017,C,113841
101270350,12Jul2017,D,200
72268006,12Jul2017,D,22000
67605730,12Jul2017,D,187275
65634658,12Jul2017,D,27307
64135606,12Jul2017,C,100000
46002934,12Jul2017,D,4000
43596028,12Jul2017,D,10000
37681138,12Jul2017,D,280
29417362,12Jul2017,D,30000
156693844,13Jul2017,D,4162
149709754,13Jul2017,D,1428
132534262,13Jul2017,D,190
130853686,13Jul2017,D,100
124366906,13Jul2017,C,325
123078370,13Jul2017,D,21843
117001924,13Jul2017,D,1000
111712072,13Jul2017,D,7000
99778582,13Jul2017,C,165480
80439898,13Jul2017,D,3000
75601162,13Jul2017,C,945
69895456,13Jul2017,C,20090
60566986,13Jul2017,C,210500
52118116,13Jul2017,D,200000
42737320,13Jul2017,D,660
32002126,13Jul2017,D,2000
31641988,13Jul2017,D,9667
31431466,13Jul2017,D,62000
30355438,13Jul2017,C,3000
26362144,13Jul2017,C,71000
22517488,13Jul2017,D,16925
151397944,14Jul2017,D,200
133229608,14Jul2017,D,2000
128585002,14Jul2017,D,806
125034280,14Jul2017,C,9155
118902064,14Jul2017,D,10000
117137386,14Jul2017,C,375
113106016,14Jul2017,C,710451
104393224,14Jul2017,D,400
103660708,14Jul2017,C,1000
98271580,14Jul2017,C,2000
91250602,14Jul2017,C,868
82002928,14Jul2017,C,16400
79406650,14Jul2017,C,44802
78489694,14Jul2017,D,3000
62377156,14Jul2017,C,84000
31427092,14Jul2017,C,12408
28477348,14Jul2017,C,260000
27239812,14Jul2017,D,1990
26809990,14Jul2017,C,463752
26124892,14Jul2017,D,471
25700614,14Jul2017,D,120000
25401742,14Jul2017,D,1000
22523272,14Jul2017,D,13000
147419026,15Jul2017,D,450
136098652,15Jul2017,C,6480
86949394,15Jul2017,D,1224
84526966,15Jul2017,D,1010
81315760,15Jul2017,C,339
67351462,15Jul2017,C,360
61298398,15Jul2017,C,4000
53631454,15Jul2017,D,2000
51912922,15Jul2017,D,234818
50717788,15Jul2017,C,200000
38607352,15Jul2017,D,200
30406612,15Jul2017,D,1692
27873964,15Jul2017,C,608
23565238,15Jul2017,D,2000
152961868,16Jul2017,D,300
146286340,16Jul2017,D,640
138039472,16Jul2017,D,194
131651368,16Jul2017,D,600
115099804,16Jul2017,D,4258
110502316,16Jul2017,C,3900
104332888,16Jul2017,D,30
99202774,16Jul2017,D,174
63087682,16Jul2017,D,1184
31438906,16Jul2017,C,99998
223197592,17Jul2017,C,69824
214186426,17Jul2017,D,24800
166045336,17Jul2017,C,2
156722500,17Jul2017,C,10515
151396150,17Jul2017,C,5265
122352106,17Jul2017,D,58147
121893850,17Jul2017,D,582
119292880,17Jul2017,D,9792
113630812,17Jul2017,D,2000
113284708,17Jul2017,D,15000
110786842,17Jul2017,D,248
108731530,17Jul2017,C,7120
95509228,17Jul2017,C,497
81004462,17Jul2017,D,15000
74469064,17Jul2017,D,1000
62264194,17Jul2017,D,198
55051342,17Jul2017,C,25256
54924184,17Jul2017,D,3000
43193632,17Jul2017,D,28455
30572098,17Jul2017,D,654
29939944,17Jul2017,C,710
28007356,17Jul2017,D,7850
27878026,17Jul2017,D,2500
22549498,17Jul2017,D,12100
212484304,18Jul2017,D,13857
166761976,18Jul2017,D,12
157035910,18Jul2017,C,671
145983940,18Jul2017,C,15158
116242690,18Jul2017,D,554
112065406,18Jul2017,D,2500
93456544,18Jul2017,D,3000
83515006,18Jul2017,C,2080
74778826,18Jul2017,C,6000
63225328,18Jul2017,C,1
52214140,18Jul2017,D,113880
45568330,18Jul2017,D,20222
42182110,18Jul2017,C,74583
30393172,18Jul2017,D,500
29498092,18Jul2017,C,850000
27984844,18Jul2017,C,23005
212500072,19Jul2017,D,10000
152958634,19Jul2017,C,8000
149988280,19Jul2017,C,20000
144948286,19Jul2017,D,10
109989340,19Jul2017,C,5887
107985442,19Jul2017,C,4275
98905186,19Jul2017,D,5000
97845154,19Jul2017,D,1025
54702154,19Jul2017,C,72281
47266762,19Jul2017,D,35
30877000,19Jul2017,D,97011
29759062,19Jul2017,C,100
26606224,19Jul2017,D,20
25393684,19Jul2017,C,22551
153176440,20Jul2017,C,5000
148950904,20Jul2017,D,4500
146077798,20Jul2017,D,7000
139658722,20Jul2017,C,31220
128483332,20Jul2017,D,80000
124871254,20Jul2017,D,2160
124075282,20Jul2017,D,2900
123785104,20Jul2017,D,13000
110351116,20Jul2017,D,2000
100497964,20Jul2017,D,10000
92427586,20Jul2017,D,2000
74607412,20Jul2017,D,12170
74358802,20Jul2017,D,150
73141084,20Jul2017,D,700
59165716,20Jul2017,D,50
58326358,20Jul2017,D,484214
41685160,20Jul2017,C,2
36160642,20Jul2017,C,63
28837270,20Jul2017,D,51533
27264706,20Jul2017,C,3000
23070856,20Jul2017,C,3449
147097210,21Jul2017,C,31425
144982696,21Jul2017,D,2000
143797732,21Jul2017,C,88
140063452,21Jul2017,D,25000
126205012,21Jul2017,D,475
108214708,21Jul2017,C,4352
90379696,21Jul2017,D,22839
77934400,21Jul2017,D,64036
52444918,21Jul2017,D,19900
42914362,21Jul2017,C,1067
41614276,21Jul2017,D,240
41157442,21Jul2017,D,100000
41015476,21Jul2017,D,1000
40784206,21Jul2017,D,19723
30153028,21Jul2017,C,1806
26345938,21Jul2017,D,43584
26267746,21Jul2017,C,20000
24348670,21Jul2017,C,16
166045054,22Jul2017,D,277
152428498,22Jul2017,D,5000
144938512,22Jul2017,D,300
129825304,22Jul2017,D,200
100945768,22Jul2017,D,200
83399800,22Jul2017,D,10000
31573000,22Jul2017,D,5000
31066618,22Jul2017,D,5240
153593392,23Jul2017,D,4000
115883620,23Jul2017,D,1000
104981908,23Jul2017,C,10000
96322030,23Jul2017,D,1239
44887042,23Jul2017,D,300
36456400,23Jul2017,D,500
22839742,23Jul2017,D,1000
190268938,24Jul2017,C,17379
131985634,24Jul2017,D,300
107269342,24Jul2017,D,15900
87009286,24Jul2017,D,1000
85496518,24Jul2017,C,12427
78303796,24Jul2017,D,416
73682068,24Jul2017,D,871
70202182,24Jul2017,C,280000
67609132,24Jul2017,D,105000
64843918,24Jul2017,D,2000
60862138,24Jul2017,C,1080
59107624,24Jul2017,C,16756
53139988,24Jul2017,D,310
49675318,24Jul2017,C,30000
38878204,24Jul2017,C,546
29833408,24Jul2017,C,1364
28074190,24Jul2017,D,6907
27398206,24Jul2017,C,2360
27045724,24Jul2017,C,100000
26504878,24Jul2017,C,5089
157655578,25Jul2017,C,4000
147335848,25Jul2017,D,40955
146593000,25Jul2017,D,3101
117842992,25Jul2017,C,300
115252630,25Jul2017,C,100000
94093750,25Jul2017,D,25000
90544762,25Jul2017,D,250
86561956,25Jul2017,C,324
85809358,25Jul2017,D,2000000
74702434,25Jul2017,D,2
72759964,25Jul2017,C,1630
59955616,25Jul2017,C,12744
57395842,25Jul2017,D,6000
50924554,25Jul2017,D,40000
31593604,25Jul2017,D,9787
31201906,25Jul2017,D,98
31177342,25Jul2017,D,15500
29462386,25Jul2017,D,170
28964626,25Jul2017,D,83215
28675276,25Jul2017,D,180000
26694088,25Jul2017,C,53462
23830534,25Jul2017,C,28444
209338012,26Jul2017,D,9000
152773426,26Jul2017,D,2000
141683050,26Jul2017,C,312708
136585114,26Jul2017,C,150000
136113754,26Jul2017,D,1500
125092228,26Jul2017,D,6495
124009660,26Jul2017,C,15000
122871382,26Jul2017,C,213
121893736,26Jul2017,D,50000
103735768,26Jul2017,D,2342
99930496,26Jul2017,D,25780
82824826,26Jul2017,D,30000
77222938,26Jul2017,D,11500
51745732,26Jul2017,D,5200
35843368,26Jul2017,C,40013
32206066,26Jul2017,D,10497
29622988,26Jul2017,C,10000
26632144,26Jul2017,C,10000
26288434,26Jul2017,D,10000
176515144,27Jul2017,D,1000
140350108,27Jul2017,D,17296
138046168,27Jul2017,D,10000
136136200,27Jul2017,D,2000
136107682,27Jul2017,C,52313
135248224,27Jul2017,C,2000
125091064,27Jul2017,C,21600
117302410,27Jul2017,D,113743
116057704,27Jul2017,D,200
113897194,27Jul2017,C,20000
88486894,27Jul2017,D,120000
81001564,27Jul2017,D,2500
47410036,27Jul2017,D,1124
31269940,27Jul2017,C,874
30364378,27Jul2017,C,21300
29907820,27Jul2017,C,1050
29498092,27Jul2017,C,175
28244176,27Jul2017,D,1220817
26157940,27Jul2017,D,25000
23375482,27Jul2017,C,2216
143167138,28Jul2017,D,110
135345520,28Jul2017,D,10
129680146,28Jul2017,C,63504
87929260,28Jul2017,D,4500
77934400,28Jul2017,D,31901
47460430,28Jul2017,D,2000
37733314,28Jul2017,D,27700
37257346,28Jul2017,D,2500
30238252,28Jul2017,C,10000
28655386,28Jul2017,C,8500
28088146,28Jul2017,D,2000
236090368,29Jul2017,D,506353
189931318,29Jul2017,C,177576
166506214,29Jul2017,C,10000
159918226,29Jul2017,D,3000
156837646,29Jul2017,D,500
139933810,29Jul2017,D,57640
138808306,29Jul2017,C,499
117227698,29Jul2017,C,6014
117227698,29Jul2017,D,308327
113281018,29Jul2017,D,500
103127584,29Jul2017,D,43
87863482,29Jul2017,D,15000
81819220,29Jul2017,D,4720
71831830,29Jul2017,C,3730
64546414,29Jul2017,C,100000
63880210,29Jul2017,C,8000000
56495644,29Jul2017,D,1662
26941036,29Jul2017,D,1000
30677998,30Jul2017,D,1406
30227026,30Jul2017,D,345
28710664,30Jul2017,D,2000
159842470,31Jul2017,C,27310
127478482,31Jul2017,D,29000
127392904,31Jul2017,C,27892
125019046,31Jul2017,D,10708
99935104,31Jul2017,D,200
99416368,31Jul2017,D,422134
67345804,31Jul2017,D,100
66967810,31Jul2017,D,40
65200996,31Jul2017,D,1129
62433460,31Jul2017,D,13500
54080878,31Jul2017,D,26453
53066590,31Jul2017,C,9000
46652548,31Jul2017,C,4023
45102892,31Jul2017,D,10000
44345488,31Jul2017,D,45955
43880956,31Jul2017,D,400
35770930,31Jul2017,C,30603
27445618,31Jul2017,D,417
26846026,31Jul2017,D,4154
26300020,31Jul2017,C,175
26114746,31Jul2017,D,1500
24926284,31Jul2017,C,19000
155338384,01Aug2017,D,50
153248800,01Aug2017,D,1439
147565930,01Aug2017,D,0
145002214,01Aug2017,C,8
144284338,01Aug2017,D,15000
138027520,01Aug2017,D,5000
136116478,01Aug2017,D,188
132721930,01Aug2017,D,10000
116828170,01Aug2017,D,37625
114470128,01Aug2017,D,868055
109979020,01Aug2017,C,5000
105034606,01Aug2017,D,10000
102766558,01Aug2017,D,26039
102455236,01Aug2017,D,8500
100554628,01Aug2017,C,7
95318326,01Aug2017,D,799
91257658,01Aug2017,C,20000
85546714,01Aug2017,D,117799
85473406,01Aug2017,D,1000
73217992,01Aug2017,D,1600
